Risiko-ID;Risiko/Funktion;Wahrscheinlichkeit_1-3;Auswirkung_1-3;Risikowert;Prioritaet;Geplante_Tests;Begruendung
R-01;GET /api/tasks (MA kann fremde Tasks lesen);3;3;9;hoch;Modul-/Servicetest, API-/Integrationstest, Security-Test;Verletzung der Sichtbarkeitsregel. Unit-Test listTasks & API-Test mit Alice/Bob/Admin-Token sichern die Behebung ab.
R-02;PATCH /api/tasks/{id} (Mitarbeiter kann fremde Tasks editieren);3;3;9;hoch;Modul-/Servicetest, API-/Integrationstest, Security-Test;Sicherheitsrisiko. MA überschreibt unbefugt Daten anderer Nutzer. Defekt D-02 muss per Rechteprüfung abgefangen werden.
R-03;Fehlerbehandlung (Errorantworten enthalten Stacktrace / interne Details);2;3;6;hoch;API-Integrationstest, Security-Test;Verletzt die Fehlerbehandlungsvorgabe (Information Disclosure). Ungültiges JSON wird gesendet, um den Response-Body auf Stack-Pfade zu prüfen.
R-04;POST /api/login (Mehr Angriffe durch fehlende Sperrung);2;3;6;mittel;Grenzwerttest, Security-Test;Wenn die Kontosperre nach dem 5. Fehlversuch versagt, haben Angreifer mehr Versuche um Passwörter durchzuprobieren.
R-05;Validierung (Titel-Länge-Trim und dueDate nicht in der Vergangenheit nicht gegeben);3;2;6;hoch;Modul-/Servicetest, Grenzwert-/Äquivalenzklassentest;Validierung von Title (3-100 Zeichen nach Trim) und dueDate (nicht in der Vergangenheit). Unit-Tests prüfen die exakten Grenzwerte (2/3/100/101 Zeichen, Datum gestern/heute).
R-06;Zentrale Middleware (API stürzt bei ungültigem JSON-Body ab);2;2;4;mittel;API-/Integrationstest, Security-Test;Fehlende kontrollierte Fehlerbehandlung. Testet per curl/Postman mit fehlerhaftem JSON, ob die Serververfügbarkeit danach weiterhin gegeben ist.
R-07;POST /api/tasks (Standard-Priorität fällt auf LOW statt MEDIUM zurück);3;1;3;niedrig;Positiv-Regressionstest, Unit-Test;Datenkonsistenz-Fehler. Keine Sicherheitsbedrohung, beeinträchtigt aber die korrekte Sortierung und Priorisierung im System.
